,station,zip_code
0,34 ST-PENN STA,10001
1,GRD CNTRL-42 ST,10017
2,34 ST-HERALD SQ,10017
3,23 ST,10011
4,14 ST-UNION SQ,10003
5,TIMES SQ-42 ST,10036
6,PATH NEW WTC,10007
7,42 ST-PORT AUTH,10007
8,FULTON ST,10038
9,86 ST,10028
10,125 ST,10035
11,CANAL ST,10013
12,59 ST COLUMBUS,10023
13,59 ST,11220
14,47-50 STS ROCK,10020
15,14 ST,10011
16,96 ST,10025
17,JOURNAL SQUARE,07306
18,CHAMBERS ST,10007
19,FLUSHING-MAIN,11354
20,ATL AV-BARCLAY,11217
21,72 ST,10023
22,50 ST,10019
23,GROVE STREET,07302
24,JKSN HT-ROOSVLT,11372
25,28 ST,10001
26,WALL ST,10038
27,PAVONIA/NEWPORT,07310
28,W 4 ST-WASH SQ,10011
29,42 ST-BRYANT PK,10018
30,LEXINGTON AV/53,10022
31,EXCHANGE PLACE,07302
32,THIRTY THIRD ST,07302
33,CITY / BUS,10018
34,7 AV,10019
35,JAY ST-METROTEC,11201
36,B'WAY-LAFAYETTE,10012
37,8 AV,10014
38,145 ST,10031
39,NEWARK BM BW,07114
40,CHURCH AV,11226
41,57 ST-7 AV,10106
42,JAMAICA CENTER,10106
43,116 ST,10035
44,BOWLING GREEN,10004
45,72 ST-2 AVE,10021
46,77 ST,10075
47,BOROUGH HALL,11201
48,GRAND ST,10002
49,66 ST-LINCOLN,10023
