,title,type,episodes,score,members,favorites,genre,studio,rating,demographic,theme,popularity,source,rank
0,Fullmetal Alchemist: Brotherhood,TV,64,9.16,"2,633,937","186,616",Action,Bones,R - 17+ (violence & profanity),Shounen,Military,#3,Manga,#1
1,Shingeki no Kyojin Season 3 Part 2,TV,10,9.10,"1,549,705","44,111",Action,Wit Studio,R - 17+ (violence & profanity),Shounen,Military,#34,Manga,#2
2,Steins;Gate,TV,24,9.10,"2,059,997","158,181",Drama,White Fox,PG-13 - Teens 13 or older,N/A,Psychological,#11,Visual novel,#3
3,Gintama°,TV,51,9.09,"473,517","12,371",Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#338,Manga,#4
4,Fruits Basket: The Final,TV,13,9.08,"260,523","11,907",Comedy,TMS Entertainment,PG-13 - Teens 13 or older,Shoujo,N/A,#666,Manga,#5
5,Gintama',TV,51,9.06,"422,165","6,356",Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#383,Manga,#6
6,Hunter x Hunter (2011),TV,148,9.06,"2,105,459","162,485",Action,Madhouse,PG-13 - Teens 13 or older,Shounen,Super Power,#10,Manga,#7
7,Ginga Eiyuu Densetsu,OVA,110,9.05,"259,639","13,591",Drama,K-Factory,R - 17+ (violence & profanity),N/A,Military,#671,Novel,#8
8,Gintama': Enchousen,TV,13,9.04,"256,739","2,531",Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#678,Manga,#9
9,Gintama: The Final,Movie,1,9.00,"75,102","2,706",Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#1940,Manga,#10
10,Gintama.,TV,12,8.99,"241,389","2,290",Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#719,Manga,#11
11,3-gatsu no Lion 2nd Season,TV,22,8.98,"318,676","12,752",Drama,Shaft,PG-13 - Teens 13 or older,Seinen,Game,#524,Manga,#12
12,Koe no Katachi,Movie,1,8.97,"1,740,500","66,734",Drama,Kyoto Animation,PG-13 - Teens 13 or older,Shounen,School,#23,Manga,#13
13,Clannad: After Story,TV,24,8.95,"1,014,271","63,191",Comedy,Kyoto Animation,PG-13 - Teens 13 or older,N/A,N/A,#97,Visual novel,#14
14,Gintama,TV,201,8.95,"872,715","50,543",Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#123,Manga,#15
15,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,8.94,"193,037","1,922",Action,Sunrise,PG-13 - Teens 13 or older,Shounen,Historical,#913,Manga,#16
16,Shingeki no Kyojin: The Final Season,TV,16,8.92,"1,301,864","47,318",Action,MAPPA,R - 17+ (violence & profanity),Shounen,Military,#58,Manga,#17
17,Owarimonogatari 2nd Season,TV,7,8.91,"317,960","7,183",Comedy,Shaft,R - 17+ (violence & profanity),N/A,Vampire,#527,Light novel,#18
18,Code Geass: Hangyaku no Lelouch R2,TV,25,8.91,"1,448,093","66,031",Action,Sunrise,R - 17+ (violence & profanity),N/A,Mecha,#46,Original,#19
19,Kimi no Na wa.,Movie,1,8.90,"2,120,694","74,554",Drama,CoMix Wave Films,PG-13 - Teens 13 or older,N/A,School,#9,Original,#20
20,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,8.88,"143,177",878,Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#1208,Manga,#21
21,Shiguang Dailiren,ONA,11,8.87,"116,061","3,596",Drama,Studio LAN,PG-13 - Teens 13 or older,N/A,N/A,#1413,Original,#22
22,Violet Evergarden Movie,Movie,1,8.87,"309,557","2,694",Drama,Kyoto Animation,PG-13 - Teens 13 or older,N/A,N/A,#547,Light novel,#23
23,Mob Psycho 100 II,TV,13,8.82,"1,072,440","24,403",Action,Bones,PG-13 - Teens 13 or older,N/A,N/A,#88,Web manga,#24
24,Gintama.: Shirogane no Tamashii-hen,TV,12,8.82,"156,350",990,Action,Bandai Namco Pictures,PG-13 - Teens 13 or older,Shounen,Historical,#1117,Manga,#25
25,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,8.81,"919,489","13,286",Comedy,Production I.G,PG-13 - Teens 13 or older,Shounen,School,#114,Manga,#26
26,Kizumonogatari III: Reiketsu-hen,Movie,1,8.81,"364,934","5,830",Action,Shaft,R - 17+ (violence & profanity),N/A,Vampire,#447,Light novel,#27
27,Monster,TV,74,8.80,"748,581","31,983",Drama,Madhouse,R+ - Mild Nudity,Seinen,Police,#159,Manga,#28
28,Odd Taxi,TV,13,8.80,"189,745","3,763",Mystery,OLM,PG-13 - Teens 13 or older,N/A,N/A,#926,Original,#29
29,Sen to Chihiro no Kamikakushi,Movie,1,8.80,"1,466,669","25,588",Adventure,Studio Ghibli,PG - Children,N/A,N/A,#42,Original,#30
30,Monogatari Series: Second Season,TV,26,8.78,"569,703","21,147",Comedy,Shaft,R - 17+ (violence & profanity),N/A,Vampire,#255,Light novel,#31
