school_name,zip,graduation_rate,attendance_rate,college_career_rate,Borough,advancedplacement_courses,total_students,Latitude,Longitude,academicopportunities1,academicopportunities2,academicopportunities3,academicopportunities4,academicopportunities5,total_funding,total_per_pupil
Brooklyn High School for Law and Technology,11221,0.74,0.85,0.49,BROOKLYN ,"AP Chemistry, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish",594,40.688831,-73.920906,iLearnNYC: Program for expanded online coursework and self-paced learning,"Access to Law and Technology Programs: Youth Court, ESI, Civil Rights and Patent Law, Technology Program (provides experiences in web design)","Computer Programming, iCareers, Online courses; Volunteers mentor our scholars through community service internships","Multicultural Literature, Conflict Resolution/Peer Mediation, Debate, College and Career Prep, TV and Music Production Studio, CUNY College Now, Calculus",,8539266.78,21810.2516612931
International High School at Prospect Heights,11225,0.63,0.88,0.53,BROOKLYN ,,417,40.670349,-73.96169499999999,"We are a Performance-Based Assessment school, where students must present graduation worthy portfolios to graduate.","Safe, supportive, and nurturing environment where students learn English and prepare for college.",We are a Computer Science for All school. Through our programs all students have at least one full year course in computer science.,All students are matched to an internship in the community in a field of their interest.,"Afterschool programs include: Peer Tutoring, Art Club, Writing Center, The Moth, Music Club, Chorus, Photography, New Media Club, Dream Team.",6155292.09,24111.0386430862
Repertory Company High School for Theatre Arts,10036,0.96,0.91,0.87,MANHATTAN,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Psychology, AP Spanish, AP U.S. Government and Politics, AP U.S. History",242,40.755843,-73.984382,"iLearnNYC: Program for expanded online coursework and self-paced learning; College Access: Research and Action, Advanced Dance/Chorus/Tech/Acting","Advisory, Acting, Playwriting, Stagecraft, Musical Theater, Chorus, Music Theory, Dance & Movement, Senior Distinction Project, International Thespian Society","National Honor Society, yearly grade-level research projects, AP & Honors courses, PSAT & SAT Prep, free college credits through CUNY College Now","Learning Through Expanded Arts Playwriting Program (LeAp), August Wilson Monologue Competition, Young People's Chorus of New York City, TDF Open Doors","Roundabout Theatre Company (Playwriting, IATSE Career Days, Student Production Workshop), Shakespeare Society Competition, Teens on Broadway",3672797.64,22220.2443360706
Thurgood Marshall Academy for Learning and Social Change,10030,0.81,0.91,0.6,MANHATTAN,"AP English Literature and Composition, AP U.S. History",547,40.815509000000006,-73.944202,"We offer a Regents curriculum designed to graduate students, equipped with critical thinking skills and a broad, global perspective.","Enrichment: Early College High School Program, Mentoring In Medicine, Algebra for All, Financial Literacy and SAT Preparation/Testing Site","College and Career Readiness: On-site College and Career Advisor, College Trips, Career Forums, College Access for All, and CUNY College Now","Community Service and Internship: Abyssinian Development Corporation, YMCA, Geriatric Career Center (GCD), and SOBRO","Partnerships: Columbia University, Northside Center, Young Eisner Scholars, Street Squash, Brotherhood/Sister Sol, Capital One Bank, and HEAF",8989484.3,23339.6298766775
Brooklyn Frontiers High School,11201,,0.76,,BROOKLYN ,,168,40.690145,-73.989132,Partnership with Good Shepherd Services: coaches for students to create personalized academic plans and guidance,"Small classes, many co-taught by two teachers","Many opportunities for tutoring and support, both during the day and after-school",Paid Learning to Work Internships,,4537162.18,31248.4088533473
West End Secondary School,10023,,,,MANHATTAN,,339,40.772007,-73.98747900000001,"Passages: Our Senior Project requires 12th grade students to present a portfolio of their learning process to their family, the faculty, and mentors",,,,,6845781.07,18861.1175789559
Bard High School Early College Queens,11101,0.99,0.97,0.94,QUEENS   ,,623,40.745095,-73.936635,Please visit bhsec.bard.edu/queens/academics/courses-past/ to view and download past college course guides.,"In their first two years, students receive a solid foundation in mathematics, science, history, English, a foreign language, and the arts","In the final two years, the college program balances core requirements with opportunities for students to pursue their individual interests",We offer a variety of college courses and opportunities for students to engage in independent studies of their own design,Students completing 60 college credits will receive the Bard College AA degree and may transfer these credits to colleges and universities.,7928185.02,19247.9867429336
Academy of Hospitality and Tourism,11226,0.53,0.82,0.3,BROOKLYN ,AP English Language and Composition,208,40.649786999999996,-73.95855,"CTE programs: Culinary Arts, Hospitality and Tourism-Courses include Culinary 1-4, Marketing, Event Planning, Business, Work Based Learning",Brooklyn College Incoming Ninth Grade Summer Accelerated Program- Earn two credits and two Regents before entering ninth grade.,"Advanced Placement and College Courses in Literature, Language, Biology, Statistics, Calculus, US History and Government, and Research","Paid Internships for all on-track students with our partner organizations in restaurants, hotels, tour companies, politician offices, and law offices","Career Ready Certifications: , NYC Food Handlers Cert., National Serve Safe Cert. and MS Office Cert.",4168749.31,28211.606385529
School for Classics High School,11208,0.73,0.84,0.28,BROOKLYN ,"AP Biology, AP English Language and Composition, AP Environmental Science, AP Statistics, AP U.S. Government and Politics",287,40.670724,-73.874208,"Theater: Acting, movement, improvisation, etc.; Teaching artists collaborate with our teachers so that our students have a vibrant drama experience.","Every student has an advisor. Advisory meets weekly and is comprised of activities designed to promote connectedness, positivism and purpose.","All students can opt for the Science Research path that leads to Chemistry, AP Environmental ,and AP Biology courses.",College classes are also available to our 11th and 12th graders through the College Now program.,A resident college advisor guides each of our 11th and 12th graders through the entire college admission process.,4481089.15,24647.5644803744
"Queens High School for Information, Research, and Technology",11691,0.81,0.84,0.31,QUEENS   ,"AP Computer Science, AP Psychology, AP U.S. History",443,40.60201,-73.762795,"CTE program(s) in: Information Technology, Computer Science","Certification in IC3, preparation for Cisco Certification exam, programs in C++, Adobe, Cloud Applications","Advanced Placement Courses (AP4All)-AP Computer Science Principles, AP US History, AP Psychology","SUNY in the HS Program (SUNY-Albany): College Courses in Literature, Spanish, American Government and Politics, Pre-Calculus, & Environmental Science",Transitional Bilingual Program for English Language Learners in Mathematics and Science. Native Language Arts class to promote literacy in Spanish.,7367075.17,23353.1744040764
